Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-24 00:00:00-05:00,11.119999885559082,11.180000305175781,10.899999618530273,11.119999885559082,165100,0,0
2019-12-26 00:00:00-05:00,11.109999656677246,11.75,11.039999961853027,11.609999656677246,579400,0,0
2019-12-27 00:00:00-05:00,11.670000076293945,12.0,11.425000190734863,11.520000457763672,931600,0,0
2019-12-30 00:00:00-05:00,11.5,11.829999923706055,11.21399974822998,11.609999656677246,484700,0,0
2019-12-31 00:00:00-05:00,11.5600004196167,12.0600004196167,11.5,11.880000114440918,559800,0,0
2020-01-02 00:00:00-05:00,12.130000114440918,12.529999732971191,11.800000190734863,12.5,885000,0,0
2020-01-03 00:00:00-05:00,12.25,12.324999809265137,12.010000228881836,12.119999885559082,498400,0,0
2020-01-06 00:00:00-05:00,12.0,12.199999809265137,11.859999656677246,12.149999618530273,361600,0,0
2020-01-07 00:00:00-05:00,12.199999809265137,12.46500015258789,12.055000305175781,12.430000305175781,330500,0,0
2020-01-08 00:00:00-05:00,12.40999984741211,12.819999694824219,12.369999885559082,12.699999809265137,520600,0,0
2020-01-09 00:00:00-05:00,12.890000343322754,13.880000114440918,12.859999656677246,13.0600004196167,1633300,0,0
2020-01-10 00:00:00-05:00,13.100000381469727,13.25,12.59000015258789,12.930000305175781,855300,0,0
2020-01-13 00:00:00-05:00,13.0,13.579999923706055,12.859999656677246,13.539999961853027,696500,0,0
2020-01-14 00:00:00-05:00,13.8100004196167,13.880000114440918,13.399999618530273,13.859999656677246,778900,0,0
2020-01-15 00:00:00-05:00,13.920000076293945,15.680000305175781,13.899999618530273,15.600000381469727,2104000,0,0
2020-01-16 00:00:00-05:00,15.90999984741211,15.979999542236328,14.029999732971191,14.345000267028809,2333200,0,0
2020-01-17 00:00:00-05:00,14.579999923706055,14.890000343322754,13.609999656677246,14.119999885559082,988400,0,0
2020-01-21 00:00:00-05:00,14.0600004196167,14.100000381469727,13.5,13.699999809265137,1156800,0,0
2020-01-22 00:00:00-05:00,13.75,14.420000076293945,13.470000267028809,14.25,792200,0,0
2020-01-23 00:00:00-05:00,14.220000267028809,14.574000358581543,13.91100025177002,14.229999542236328,518200,0,0
2020-01-24 00:00:00-05:00,14.329999923706055,14.800000190734863,13.800000190734863,13.960000038146973,649600,0,0
2020-01-27 00:00:00-05:00,13.470000267028809,13.5600004196167,13.069999694824219,13.260000228881836,585700,0,0
2020-01-28 00:00:00-05:00,13.350000381469727,13.380000114440918,12.90999984741211,12.9399995803833,602600,0,0
2020-01-29 00:00:00-05:00,12.890000343322754,12.984999656677246,11.899999618530273,11.930000305175781,1142000,0,0
2020-01-30 00:00:00-05:00,11.739999771118164,11.880000114440918,11.199999809265137,11.649999618530273,984300,0,0
2020-01-31 00:00:00-05:00,11.550000190734863,11.6899995803833,11.210000038146973,11.300000190734863,731500,0,0
2020-02-03 00:00:00-05:00,11.430000305175781,11.960000038146973,11.154999732971191,11.619999885559082,770000,0,0
2020-02-04 00:00:00-05:00,11.859999656677246,12.40999984741211,11.640000343322754,12.399999618530273,953900,0,0
2020-02-05 00:00:00-05:00,12.40999984741211,12.50100040435791,11.8100004196167,12.130000114440918,663800,0,0
2020-02-06 00:00:00-05:00,12.109999656677246,12.140000343322754,11.579999923706055,11.579999923706055,668200,0,0
2020-02-07 00:00:00-05:00,11.600000381469727,11.600000381469727,11.239999771118164,11.270000457763672,594900,0,0
2020-02-10 00:00:00-05:00,11.210000038146973,11.520000457763672,11.010000228881836,11.300000190734863,566600,0,0
2020-02-11 00:00:00-05:00,11.399999618530273,11.65999984741211,11.109999656677246,11.510000228881836,649200,0,0
2020-02-12 00:00:00-05:00,11.600000381469727,12.479999542236328,11.5,12.460000038146973,995200,0,0
2020-02-13 00:00:00-05:00,12.199999809265137,12.890000343322754,12.0600004196167,12.75,1002300,0,0
2020-02-14 00:00:00-05:00,12.699999809265137,12.729999542236328,11.8100004196167,11.899999618530273,1006400,0,0
2020-02-18 00:00:00-05:00,11.770000457763672,12.100000381469727,11.579999923706055,11.75,653300,0,0
2020-02-19 00:00:00-05:00,11.779999732971191,12.199999809265137,11.449999809265137,12.079999923706055,978700,0,0
2020-02-20 00:00:00-05:00,12.020000457763672,12.298999786376953,11.586999893188477,11.819999694824219,827500,0,0
2020-02-21 00:00:00-05:00,11.699999809265137,11.699999809265137,10.87399959564209,11.279999732971191,1419700,0,0
2020-02-24 00:00:00-05:00,10.539999961853027,10.75,10.420000076293945,10.585000038146973,725600,0,0
2020-02-25 00:00:00-05:00,10.720000267028809,10.824999809265137,10.100000381469727,10.194999694824219,664500,0,0
2020-02-26 00:00:00-05:00,10.270000457763672,10.470000267028809,10.020000457763672,10.180000305175781,713200,0,0
2020-02-27 00:00:00-05:00,9.899999618530273,10.020000457763672,9.369999885559082,9.5600004196167,1027100,0,0
2020-02-28 00:00:00-05:00,8.949999809265137,9.729999542236328,8.539999961853027,8.930000305175781,1480600,0,0
2020-03-02 00:00:00-05:00,8.949999809265137,9.279999732971191,8.649999618530273,9.029999732971191,934700,0,0
2020-03-03 00:00:00-05:00,9.029999732971191,9.470000267028809,8.850000381469727,9.399999618530273,703600,0,0
2020-03-04 00:00:00-05:00,9.609999656677246,9.609999656677246,9.130000114440918,9.380000114440918,540500,0,0
2020-03-05 00:00:00-05:00,9.1899995803833,9.25,8.859999656677246,9.039999961853027,558300,0,0
2020-03-06 00:00:00-05:00,8.75,8.9399995803833,8.53499984741211,8.789999961853027,800700,0,0
2020-03-09 00:00:00-04:00,8.069999694824219,8.270000457763672,7.5879998207092285,7.71999979019165,1214700,0,0
2020-03-10 00:00:00-04:00,8.09000015258789,8.215999603271484,7.71999979019165,8.119999885559082,828800,0,0
2020-03-11 00:00:00-04:00,7.829999923706055,8.039999961853027,6.989999771118164,7.039999961853027,933700,0,0
2020-03-12 00:00:00-04:00,6.309999942779541,6.5,5.664999961853027,5.679999828338623,1065200,0,0
2020-03-13 00:00:00-04:00,6.199999809265137,6.230000019073486,5.610000133514404,6.110000133514404,990700,0,0
2020-03-16 00:00:00-04:00,5.53000020980835,6.159999847412109,5.360000133514404,5.639999866485596,763000,0,0
2020-03-17 00:00:00-04:00,5.800000190734863,6.139999866485596,5.510000228881836,5.960000038146973,1246500,0,0
2020-03-18 00:00:00-04:00,5.559999942779541,5.809999942779541,5.0,5.5,1207400,0,0
